date	duration	item	month	network	network_type
6/11/2014 18:02	279	call	2014-11	Tesco	mobile
6/11/2014 18:07	452	call	2014-11	Vodafone	mobile
7/11/2014 6:58	34.429	data	2014-11	data	data
7/11/2014 9:33	1205	call	2014-11	Vodafone	mobile
7/11/2014 17:51	218	call	2014-11	Three	mobile
7/11/2014 21:04	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:10	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:12	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:12	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:19	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:25	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:31	1	sms	2014-11	Vodafone	mobile
7/11/2014 21:31	1	sms	2014-11	Vodafone	mobile
7/11/2014 22:04	1	sms	2014-11	Vodafone	mobile
8/11/2014 6:58	34.429	data	2014-11	data	data
8/11/2014 16:33	41	call	2014-11	Three	mobile
8/11/2014 18:18	6	call	2014-11	Tesco	mobile
9/11/2014 1:41	1	sms	2014-11	Three	mobile
9/11/2014 1:49	1	sms	2014-11	Three	mobile
9/11/2014 1:50	1	sms	2014-11	Three	mobile
9/11/2014 2:04	1	sms	2014-11	Three	mobile
9/11/2014 6:58	34.429	data	2014-11	data	data
9/11/2014 19:21	14	call	2014-11	Tesco	mobile
9/11/2014 22:09	3	call	2014-11	Three	mobile
10/11/2014 6:58	34.429	data	2014-11	data	data
10/11/2014 9:29	178	call	2014-11	Vodafone	mobile
10/11/2014 11:36	412	call	2014-11	Three	mobile
10/11/2014 14:59	13	call	2014-11	Three	mobile
10/11/2014 15:15	459	call	2014-11	Three	mobile
10/11/2014 18:19	1	sms	2014-11	Three	mobile
10/11/2014 18:34	1	sms	2014-11	Three	mobile
11/11/2014 6:58	34.429	data	2014-11	data	data
11/11/2014 9:28	3	call	2014-11	Vodafone	mobile
11/11/2014 11:32	3	call	2014-11	Vodafone	mobile
11/11/2014 11:37	1	sms	2014-11	Three	mobile
11/11/2014 12:39	36	call	2014-11	Three	mobile
11/11/2014 14:13	1	sms	2014-11	Meteor	mobile
11/11/2014 14:20	1	sms	2014-11	Meteor	mobile
11/11/2014 14:41	1	sms	2014-11	Meteor	mobile
11/11/2014 19:56	1	sms	2014-11	Three	mobile
12/11/2014 6:58	34.429	data	2014-11	data	data
12/11/2014 10:48	1	sms	2014-11	Vodafone	mobile
12/11/2014 10:48	1	sms	2014-11	Three	mobile
12/11/2014 10:48	1	sms	2014-11	Vodafone	mobile
12/11/2014 10:49	1	sms	2014-11	Three	mobile
12/11/2014 12:04	1	sms	2014-11	Three	mobile
12/11/2014 13:49	1	sms	2014-11	Vodafone	mobile
12/11/2014 16:16	1	sms	2014-11	Vodafone	mobile
12/11/2014 16:19	4	call	2014-11	landline	landline
12/11/2014 16:42	1	sms	2014-11	Vodafone	mobile
12/11/2014 16:42	1	sms	2014-11	Vodafone	mobile
